replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_left_y,left_y,12,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,uint32_be,True,0.0855583202069663,3.0,2832.1635019755377,-6.594243301495866e-14,-0.00042811511467879154
16_left_y,left_y,13,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,int32_le,True,0.0541694782419734,3.0,2832.1635019755377,7.14029839777963e-10,-0.00045011181397452423
16_left_y,left_y,14,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,uint32_le,True,0.0541694782419734,3.0,2832.1635019755377,7.14029839777963e-10,-0.00045011181397452423
16_left_y,left_y,15,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,float32_le,True,0.04323714799899601,3.0,2832.1635019755377,0.00558693613114393,-0.0004486391879398696
16_left_y,left_y,16,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,float32_le,False,0.01099630077138723,2.0,2832.1635019755377,0.002284900134395568,-0.004436753252354858
16_left_y,left_y,17,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,int32_le,False,0.00888473326446234,2.0,2832.1635019755377,3.281609979436954e-10,-0.35144677245185246
16_left_y,left_y,18,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,uint32_le,False,0.00888473326446234,2.0,2832.1635019755377,3.281609979436954e-10,-0.35144677245185246
16_left_z,left_z,1,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,2,int16_le,True,0.09737277529498549,1.0,6040.343652867984,-5.678085864548946e-08,-0.00015182890003088268
16_left_z,left_z,2,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,2,uint16_le,True,0.09708855168620573,1.0,6040.343652867984,5.665055764092341e-08,-0.0001517333356262036
16_left_z,left_z,3,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,4,int32_le,True,0.09708855168620573,1.0,3020.171826433992,5.665055764092341e-08,-0.0001517333356262036
16_left_z,left_z,4,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,4,uint32_le,True,0.09708855168620573,1.0,3020.171826433992,5.665055764092341e-08,-0.0001517333356262036
16_left_z,left_z,5,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,2,int16_be,True,0.08388603732433535,3.0,6040.343652867984,1.3686661468704457e-08,-0.0004287757028989655
16_left_z,left_z,6,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,4,int32_be,True,0.08388603732433535,3.0,3020.171826433992,2.0884188032080775e-13,-0.0004287757028989655
16_left_z,left_z,7,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,2,uint16_be,True,0.07702829269689022,2.0,6040.343652867984,-4.091427529729793e-09,-0.00028597161322611164
16_left_z,left_z,8,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,4,uint32_be,True,0.07702829269689022,2.0,3020.171826433992,-6.243022964065236e-14,-0.00028597161322611164
16_left_z,left_z,9,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,2,int16_be,False,0.07491800989890247,1.0,6040.343652867984,8.046767691018718e-07,-0.00021939659228525357
16_left_z,left_z,10,3,11545.687836716528,192.168.1.6,192.168.1.14,52428,60376,152,72,4,int32_be,False,0.07491800989890247,1.0,3020.171826433992,1.227839308321948e-11,-0.00021939659228525357
